mood_score,stress_level,energy_level,sleep_hours,sleep_quality,focus_level,motivation_level,restlessness_level,work_study_pressure,physical_activity_minutes,hydration_cups,social_withdrawal,burnout_score,burnout_risk,stress_score,stress_class,mood_wellbeing_score,mood_class
2,4,5,4.3,2,5,5,2,5,7,1,5,69.91,moderate,59.61,moderate,60.7,neutral
2,3,2,6.1,4,1,3,2,4,33,6,2,58.82,moderate,48.37,mild,51.62,neutral
5,3,5,5.6,1,1,2,2,1,6,7,5,36.81,mild,49.91,mild,54.23,neutral
2,3,4,5.5,5,5,5,4,5,29,9,1,50.17,moderate,56.94,moderate,75.14,good
1,2,5,6.2,1,5,5,2,1,87,12,4,27.16,mild,27.63,low,68.48,good
4,2,1,6.6,4,5,3,4,1,18,4,3,50.44,moderate,41.36,mild,44.97,neutral
5,4,4,7.7,1,4,3,3,3,31,1,5,47.15,moderate,53.01,moderate,46.0,neutral
5,3,1,4.6,5,3,5,4,1,16,5,3,42.93,mild,15.14,low,69.48,good
5,3,2,5.6,4,1,1,3,1,46,2,1,43.87,mild,27.28,low,47.11,neutral
1,3,1,6.5,5,3,2,2,4,92,9,1,54.6,moderate,37.7,mild,43.08,neutral
4,2,3,6.4,5,3,3,3,5,65,7,2,35.86,mild,24.0,low,59.45,neutral
5,5,5,10.1,5,4,4,4,1,24,9,5,31.32,mild,44.99,mild,78.83,good
4,3,4,7.2,4,1,4,3,4,38,4,1,41.58,mild,50.64,moderate,51.27,neutral
5,4,2,3.9,5,1,2,5,4,81,12,5,70.7,elevated,64.03,moderate,18.25,low
5,5,3,7.6,1,3,5,3,1,57,11,3,31.7,mild,29.54,low,60.58,neutral
3,5,2,7.8,4,5,4,2,1,55,11,3,52.74,moderate,21.89,low,74.7,good
1,4,4,6.6,5,5,3,1,3,104,9,5,48.81,moderate,35.56,mild,68.66,good
3,4,2,4.6,2,3,5,2,4,99,2,4,54.35,moderate,54.32,moderate,58.25,neutral
2,3,1,10.0,5,2,1,1,2,29,1,4,52.27,moderate,16.75,low,32.42,low
1,4,3,4.9,3,3,4,1,3,85,12,5,71.19,elevated,45.8,mild,57.17,neutral
1,2,5,8.0,3,3,5,2,3,95,11,3,42.37,mild,44.22,mild,73.48,good
4,4,3,7.2,2,4,4,2,4,108,11,5,55.54,moderate,60.12,moderate,61.89,neutral
3,1,2,7.9,1,2,3,5,2,31,8,4,43.63,mild,58.14,moderate,33.69,low
3,5,1,9.9,5,2,2,4,4,88,11,5,73.53,elevated,62.67,moderate,29.03,low
4,2,5,7.8,4,3,2,4,5,22,6,3,42.11,mild,64.21,moderate,54.86,neutral
3,4,4,5.8,3,5,3,3,3,53,2,4,46.03,moderate,54.22,moderate,52.99,neutral
4,1,1,8.8,5,5,5,1,4,8,3,3,29.56,mild,43.27,mild,47.13,neutral
1,1,1,5.7,1,4,3,5,1,73,11,5,60.88,moderate,68.61,moderate,28.0,low
5,5,1,7.1,4,2,1,3,5,82,8,4,74.94,elevated,75.93,high,18.95,low
3,5,2,4.5,3,3,3,3,2,54,12,1,54.15,moderate,54.65,moderate,53.0,neutral
1,2,5,4.9,4,3,1,4,1,49,11,3,33.52,mild,45.24,mild,57.45,neutral
5,1,1,6.9,1,5,5,1,3,29,9,1,38.18,mild,27.76,low,50.25,neutral
4,5,5,7.5,4,2,3,3,2,93,0,4,57.4,moderate,53.3,moderate,40.42,neutral
1,5,1,3.7,4,5,2,4,3,110,2,4,75.05,elevated,38.37,mild,44.72,neutral
1,1,4,7.7,5,4,4,4,5,16,4,5,54.94,moderate,83.14,high,65.94,good
1,4,2,5.3,2,4,3,3,3,33,0,1,62.41,moderate,37.13,mild,52.51,neutral
2,2,5,9.1,1,4,3,5,2,73,12,3,35.78,mild,64.83,moderate,57.47,neutral
1,4,3,6.2,1,4,3,5,5,44,2,2,56.54,moderate,90.81,high,47.67,neutral
4,3,2,4.8,1,4,5,1,2,1,4,3,32.03,mild,40.93,mild,52.1,neutral
3,1,2,6.9,2,4,5,1,5,2,8,5,39.27,mild,39.61,mild,50.18,neutral
5,2,5,5.2,5,2,2,3,5,28,0,3,35.98,mild,52.56,moderate,58.17,neutral
4,3,3,9.1,1,3,2,5,3,117,8,3,48.42,moderate,71.06,high,38.28,low
4,4,2,6.8,1,3,5,3,4,73,1,5,54.1,moderate,73.97,high,45.08,neutral
3,1,4,6.5,1,5,4,2,4,30,11,3,39.34,mild,50.67,moderate,64.32,neutral
1,5,3,7.9,2,4,1,3,5,6,8,3,64.91,moderate,64.38,moderate,35.9,low
1,4,4,5.0,4,5,3,5,3,91,4,3,49.03,moderate,38.22,mild,62.71,neutral
4,5,3,4.5,2,4,1,1,3,45,9,5,54.82,moderate,62.3,moderate,46.96,neutral
1,5,1,7.5,3,3,1,3,2,47,4,3,72.57,elevated,34.6,mild,15.61,low
1,1,1,4.8,2,3,1,4,3,67,1,4,60.84,moderate,69.9,moderate,14.47,low
2,1,1,4.8,5,4,2,2,4,27,0,1,46.59,moderate,49.93,mild,58.23,neutral
5,4,3,8.3,1,5,1,1,3,88,2,1,55.1,moderate,23.03,low,39.12,low
3,1,3,7.7,2,2,5,4,2,37,9,1,53.94,moderate,47.01,mild,55.87,neutral
4,1,4,4.5,3,2,3,4,3,85,7,3,44.04,mild,62.34,moderate,61.85,neutral
3,3,5,5.7,5,2,3,4,3,62,3,4,48.73,moderate,49.88,mild,62.74,neutral
1,5,1,5.2,3,1,5,4,1,17,8,2,54.83,moderate,51.44,moderate,38.83,low
2,4,5,10.0,1,4,5,4,4,75,5,5,59.45,moderate,67.94,moderate,72.09,good
1,3,5,8.4,3,5,5,2,5,9,2,1,42.05,mild,47.59,mild,77.94,good
4,1,4,6.0,2,4,1,1,2,86,8,4,38.22,mild,29.83,low,47.98,neutral
1,2,3,7.8,2,1,4,5,2,45,5,2,46.48,moderate,77.96,high,28.41,low
2,4,1,4.4,5,2,5,2,1,81,8,1,48.74,moderate,14.05,low,60.98,neutral
5,1,1,5.6,5,5,1,5,3,29,7,4,43.51,mild,55.58,moderate,42.71,neutral
3,3,1,7.0,2,1,5,3,3,49,1,3,67.7,moderate,73.06,high,33.55,low
3,1,4,7.6,3,4,5,3,5,36,0,4,45.88,moderate,53.41,moderate,54.5,neutral
3,2,3,6.6,3,3,5,1,5,30,1,5,52.03,moderate,58.46,moderate,53.16,neutral
4,2,1,7.2,5,5,2,5,4,41,2,3,48.38,moderate,42.66,mild,36.58,low
2,4,1,6.9,5,3,1,3,2,6,2,5,56.18,moderate,17.95,low,32.47,low
4,5,1,6.5,2,3,4,5,1,48,11,3,60.53,moderate,39.71,mild,36.36,low
5,1,4,6.3,1,4,4,4,3,14,10,2,23.19,low,51.0,moderate,70.32,good
3,4,4,6.0,1,5,4,1,4,62,11,2,42.43,mild,40.57,mild,65.92,good
3,4,4,7.2,1,3,2,5,1,10,6,2,64.54,moderate,44.34,mild,31.58,low
1,5,1,7.5,4,4,1,3,3,1,4,5,71.9,elevated,44.06,mild,32.32,low
2,5,1,7.2,4,5,5,1,1,53,5,3,44.68,mild,0.0,low,68.18,good
5,1,1,4.7,5,3,3,3,2,36,11,5,38.07,mild,43.14,mild,55.06,neutral
3,4,4,5.0,1,4,5,4,2,106,4,2,46.5,moderate,61.36,moderate,63.75,neutral
2,3,4,7.5,1,2,5,4,1,31,8,4,26.25,mild,60.98,moderate,56.02,neutral
3,1,2,9.4,1,2,3,2,2,48,1,1,31.26,mild,39.54,mild,53.65,neutral
3,2,1,7.1,4,1,2,5,4,28,12,2,58.78,moderate,73.26,high,15.2,low
3,5,2,6.1,1,4,5,2,5,107,8,1,49.0,moderate,52.86,moderate,56.13,neutral
4,3,5,7.2,4,2,4,3,4,95,12,5,37.81,mild,55.44,moderate,63.76,neutral
2,2,1,4.8,5,5,4,5,2,20,3,2,34.53,mild,40.89,mild,54.74,neutral
4,2,4,9.2,1,5,5,1,5,30,8,5,31.03,mild,58.01,moderate,57.57,neutral
3,5,3,7.1,4,5,2,3,3,22,3,3,50.95,moderate,25.34,low,66.87,good
5,2,1,5.6,3,2,2,3,2,18,6,1,49.51,moderate,46.88,mild,36.97,low
1,1,5,6.5,5,4,1,4,5,29,4,2,51.12,moderate,48.32,mild,62.56,neutral
1,3,3,5.9,2,4,2,4,2,103,1,2,48.08,moderate,40.16,mild,53.37,neutral
3,5,4,9.2,2,3,3,4,4,55,5,3,62.68,moderate,76.05,high,50.74,neutral
3,1,1,6.4,1,3,3,2,1,46,6,2,26.74,mild,36.79,mild,29.01,low
4,2,2,7.1,4,3,1,3,2,23,2,4,42.19,mild,38.8,mild,25.43,low
3,3,4,7.8,5,2,5,1,5,22,5,4,46.94,moderate,35.81,mild,81.07,good
5,1,4,5.5,1,3,3,5,2,67,1,1,33.31,mild,45.09,mild,51.41,neutral
3,4,1,7.1,3,5,3,2,5,90,8,3,63.16,moderate,54.79,moderate,42.38,neutral
1,2,4,7.3,4,2,5,3,3,67,4,3,45.84,moderate,51.03,moderate,81.94,good
1,1,5,4.0,4,1,3,4,5,79,1,2,53.61,moderate,75.5,high,44.99,neutral
5,2,4,7.3,5,1,5,4,3,31,6,4,28.15,mild,48.09,mild,44.56,neutral
1,5,2,6.7,4,3,2,1,3,114,10,2,53.25,moderate,25.36,low,32.51,low
5,5,5,7.0,5,2,5,4,2,99,12,5,26.2,mild,46.33,mild,71.75,good
2,3,4,6.9,5,3,5,2,2,106,12,3,22.22,low,14.3,low,80.44,good
1,3,1,7.3,5,5,4,3,5,80,2,2,57.55,moderate,46.68,mild,65.88,good
2,5,1,9.2,3,1,5,1,3,84,2,4,75.04,elevated,34.02,mild,50.0,neutral
4,1,5,4.7,3,1,4,4,3,8,11,4,29.97,mild,55.5,moderate,37.01,low
3,4,2,6.2,3,2,4,3,2,19,8,3,51.63,moderate,44.92,mild,70.41,good
4,4,1,8.0,5,3,4,1,4,16,7,4,32.97,mild,43.64,mild,47.47,neutral
4,4,3,7.7,2,4,5,1,2,58,10,2,25.88,mild,28.93,low,77.82,good
3,2,3,7.6,4,1,4,4,2,71,0,5,43.95,mild,40.65,mild,54.62,neutral
4,4,3,11.0,4,1,4,1,1,14,7,4,41.58,mild,12.88,low,59.29,neutral
5,4,4,7.9,1,1,1,3,5,90,7,2,40.31,mild,74.14,high,24.1,low
3,5,5,8.8,3,5,5,4,1,66,12,5,54.89,moderate,19.72,low,72.85,good
1,1,4,6.2,1,1,4,5,5,72,6,5,57.7,moderate,100.0,high,24.95,low
3,4,1,5.0,4,4,1,1,2,110,6,1,41.42,mild,9.71,low,41.42,neutral
5,5,1,6.2,3,3,2,2,1,70,10,4,51.41,moderate,49.42,mild,26.39,low
2,2,1,8.1,2,1,2,1,5,0,3,3,59.49,moderate,53.41,moderate,32.18,low
5,4,2,7.5,1,3,2,5,4,93,0,4,62.02,moderate,79.67,high,23.78,low
3,1,2,7.5,1,2,5,3,4,105,6,2,37.73,mild,55.87,moderate,58.49,neutral
4,4,5,6.4,4,3,3,5,3,10,7,2,45.41,moderate,50.94,moderate,60.77,neutral
2,4,2,6.1,5,1,3,1,4,65,6,2,62.11,moderate,42.64,mild,41.78,neutral
5,1,1,6.5,2,4,4,4,1,56,9,1,16.93,low,41.02,mild,53.23,neutral
1,1,5,8.1,5,4,2,1,2,18,3,5,25.39,mild,31.24,mild,70.18,good
2,4,2,8.3,3,1,5,1,3,33,0,2,58.14,moderate,46.47,mild,59.78,neutral
3,2,5,5.0,2,3,4,3,4,103,10,5,39.64,mild,76.78,high,70.51,good
3,3,4,8.2,3,4,2,2,3,47,11,2,38.4,mild,30.7,mild,66.29,good
3,1,5,5.6,4,1,4,2,3,64,8,2,26.46,mild,49.22,mild,78.42,good
1,5,5,7.6,5,4,3,1,4,94,4,5,46.16,moderate,34.11,mild,79.29,good
2,3,1,6.5,3,3,2,3,1,54,4,2,45.73,moderate,38.15,mild,33.86,low
1,5,4,9.6,2,2,5,2,3,107,6,4,50.3,moderate,54.77,moderate,69.12,good
3,1,3,6.0,4,3,2,5,2,60,5,1,40.21,mild,48.25,mild,55.58,neutral
2,2,4,7.1,3,4,1,4,3,119,2,5,56.04,moderate,56.83,moderate,39.81,low
3,4,4,7.9,2,4,3,3,1,17,4,4,42.13,mild,41.05,mild,55.82,neutral
3,4,3,5.2,3,4,3,4,5,107,3,4,67.61,moderate,63.82,moderate,45.02,neutral
4,4,2,6.7,3,1,1,3,5,13,5,1,56.75,moderate,50.27,moderate,31.64,low
3,5,5,6.3,1,4,4,3,5,98,4,5,53.47,moderate,83.03,high,57.19,neutral
4,5,4,5.9,1,1,2,5,5,80,6,3,72.54,elevated,100.0,high,26.7,low
3,1,5,6.0,4,4,1,3,4,67,10,2,37.0,mild,46.12,mild,56.73,neutral
4,2,2,8.8,1,2,3,3,2,106,4,1,41.69,mild,53.61,moderate,34.17,low
4,5,5,5.7,3,1,1,3,1,77,0,1,55.31,moderate,19.54,low,42.19,neutral
2,3,2,7.8,4,4,4,4,4,84,10,4,38.37,mild,49.94,mild,57.86,neutral
2,5,3,7.4,2,3,1,4,5,91,2,2,65.69,moderate,69.92,moderate,21.36,low
4,3,5,4.3,2,4,3,3,2,101,12,5,49.83,moderate,34.07,mild,62.79,neutral
2,1,2,7.7,5,2,1,1,5,28,6,2,51.29,moderate,30.09,mild,33.48,low
3,3,2,4.3,1,2,2,4,1,102,6,1,62.25,moderate,48.61,mild,38.38,low
1,5,5,7.9,4,4,5,3,2,71,5,5,54.75,moderate,31.26,mild,78.51,good
3,4,5,5.9,1,2,4,5,4,3,9,4,55.73,moderate,78.22,high,40.95,neutral
3,1,2,6.8,5,5,3,5,3,111,8,3,19.91,low,40.59,mild,63.66,neutral
4,2,2,4.5,3,4,1,1,4,93,12,5,46.1,moderate,38.78,mild,28.39,low
3,5,2,7.0,1,5,2,5,2,107,0,4,66.35,moderate,52.43,moderate,36.74,low
2,5,1,8.5,4,1,2,5,4,93,2,1,77.52,elevated,63.65,moderate,35.19,low
5,4,3,5.3,1,3,3,5,2,41,3,3,48.58,moderate,55.67,moderate,35.16,low
3,1,2,5.7,2,3,2,3,1,42,2,5,35.66,mild,37.69,mild,35.92,low
5,4,5,7.6,3,5,5,2,3,33,12,4,21.27,low,35.34,mild,78.05,good
4,5,1,7.7,4,3,4,4,3,49,0,4,50.5,moderate,57.73,moderate,45.05,neutral
3,4,4,2.5,3,5,2,5,3,4,1,1,41.62,mild,53.15,moderate,56.7,neutral
5,3,3,10.4,5,2,1,3,1,90,5,3,36.93,mild,12.82,low,55.61,neutral
1,3,4,7.8,3,5,3,5,3,91,3,1,45.95,moderate,35.79,mild,57.78,neutral
5,2,1,8.1,2,3,3,2,1,119,4,4,35.25,mild,40.45,mild,49.19,neutral
5,2,3,6.5,2,5,4,5,5,66,7,2,35.33,mild,64.11,moderate,64.59,neutral
3,4,4,3.5,5,2,3,1,1,119,7,2,36.62,mild,17.81,low,72.3,good
4,1,2,8.0,4,2,4,5,5,25,11,3,37.23,mild,90.21,high,34.68,low
3,1,5,5.8,1,3,5,5,1,57,5,1,25.04,mild,52.71,moderate,69.17,good
2,2,3,7.8,4,3,3,4,4,94,12,4,51.31,moderate,39.2,mild,47.5,neutral
4,4,2,6.4,3,1,4,4,2,95,2,3,52.09,moderate,64.46,moderate,56.68,neutral
2,4,1,7.2,2,4,2,3,1,93,2,3,79.9,elevated,32.88,mild,35.92,low
2,3,1,5.4,1,3,5,5,2,56,5,4,55.96,moderate,66.56,moderate,49.31,neutral
3,3,3,8.4,5,1,3,1,1,8,1,4,44.05,mild,23.84,low,58.64,neutral
5,1,3,4.7,1,3,4,2,4,104,0,5,38.39,mild,74.7,high,44.62,neutral
2,2,5,10.8,5,4,5,1,5,46,4,1,30.86,mild,40.15,mild,83.41,good
3,1,4,10.8,1,1,2,2,2,78,6,3,57.78,moderate,39.03,mild,37.41,low
1,4,1,9.7,3,5,1,3,3,16,3,1,70.97,elevated,41.82,mild,43.62,neutral
1,4,3,9.1,1,4,2,2,1,113,3,2,40.42,mild,17.41,low,42.41,neutral
1,2,3,6.6,3,2,2,3,3,31,1,3,43.72,mild,66.95,moderate,48.43,neutral
1,2,1,8.9,5,4,1,2,5,120,1,1,51.67,moderate,39.73,mild,49.03,neutral
5,2,4,6.6,3,5,3,2,3,86,11,3,22.11,low,35.63,mild,60.77,neutral
5,5,3,4.0,3,5,2,3,5,39,0,5,48.61,moderate,61.14,moderate,54.16,neutral
5,3,1,9.5,1,4,1,2,4,44,9,1,51.62,moderate,55.11,moderate,32.39,low
1,4,3,8.8,5,2,1,5,1,118,9,2,40.61,mild,39.9,mild,52.95,neutral
1,3,4,6.7,2,1,2,5,1,71,2,2,55.94,moderate,43.81,mild,36.91,low
2,4,2,4.6,3,2,2,5,2,83,3,5,74.18,elevated,66.23,moderate,30.04,low
3,3,2,5.7,5,5,5,1,5,74,4,4,47.93,moderate,43.31,mild,66.53,good
2,2,1,3.5,4,2,4,3,1,28,8,1,45.43,moderate,30.25,mild,67.48,good
3,5,2,8.5,4,2,4,4,1,16,0,4,66.91,moderate,32.01,mild,51.42,neutral
1,4,5,3.9,1,5,4,2,5,0,10,1,59.3,moderate,80.73,high,65.28,good
4,4,4,7.3,3,2,5,2,1,48,4,4,42.41,mild,41.0,mild,59.82,neutral
2,5,1,5.3,3,3,2,4,2,82,6,2,59.7,moderate,51.47,moderate,26.23,low
1,2,3,4.2,1,2,1,1,4,36,11,4,74.26,elevated,72.51,high,21.53,low
4,1,1,7.2,2,2,3,4,1,26,1,3,39.49,mild,45.73,mild,35.89,low
5,3,3,6.2,5,3,1,3,1,47,12,4,48.75,moderate,23.67,low,39.36,low
1,2,1,8.3,5,4,2,4,4,27,7,2,61.84,moderate,23.63,low,35.42,low
3,3,4,4.5,5,2,4,4,1,52,5,3,42.68,mild,24.86,low,54.36,neutral
5,2,3,5.4,5,1,3,3,4,66,0,5,46.81,moderate,80.22,high,56.72,neutral
4,2,4,2.5,5,4,4,3,3,32,0,5,37.46,mild,58.44,moderate,71.85,good
5,2,3,2.9,1,3,3,1,2,3,10,3,35.35,mild,44.82,mild,50.48,neutral
3,2,2,10.0,5,4,3,5,4,12,5,5,55.22,moderate,49.25,mild,38.28,low
2,4,2,10.6,4,3,2,1,2,50,9,1,55.74,moderate,29.22,low,60.04,neutral
4,3,2,7.0,5,4,2,5,5,21,10,4,37.11,mild,62.89,moderate,52.27,neutral
1,3,3,5.3,4,4,2,5,3,96,5,4,56.68,moderate,62.69,moderate,48.04,neutral
2,1,3,6.3,1,4,4,4,4,19,4,2,51.01,moderate,54.13,moderate,44.42,neutral
4,3,4,8.4,3,4,5,4,2,3,3,2,46.03,moderate,35.19,mild,77.42,good
4,1,1,5.9,4,3,1,1,5,74,8,3,48.86,moderate,57.81,moderate,34.88,low
1,2,2,7.2,1,2,3,5,2,75,9,4,43.78,mild,80.38,high,36.71,low
3,3,5,6.8,3,3,3,3,3,81,4,4,33.07,mild,43.82,mild,66.56,good
2,1,5,5.8,4,4,3,2,5,19,7,4,34.21,mild,46.03,mild,73.46,good
3,2,5,5.9,3,3,2,4,5,82,7,4,58.25,moderate,82.05,high,43.46,neutral
5,2,2,7.3,4,3,1,3,4,104,1,5,38.99,mild,44.02,mild,39.05,low
1,5,1,5.0,1,2,2,2,4,73,6,5,88.97,elevated,58.25,moderate,13.37,low
5,5,1,7.6,2,1,1,2,4,47,9,3,56.99,moderate,61.07,moderate,0.0,low
3,1,1,6.0,5,3,1,1,3,58,12,1,40.59,mild,43.44,mild,36.8,low
4,4,5,7.0,3,5,2,5,4,98,4,2,36.54,mild,49.75,mild,55.32,neutral
3,4,5,9.3,1,4,4,4,3,17,3,1,46.3,moderate,51.37,moderate,66.43,good
2,2,5,6.5,1,4,5,2,3,87,11,3,25.92,mild,48.28,mild,77.7,good
4,3,4,8.5,3,4,4,4,2,32,11,5,49.02,moderate,43.02,mild,65.29,good
4,4,2,3.6,5,5,1,4,2,106,10,3,45.36,moderate,20.53,low,65.07,good
1,2,3,6.0,1,2,2,1,1,16,4,5,38.86,mild,44.88,mild,34.55,low
4,1,5,6.8,1,4,2,1,4,62,3,3,18.95,low,50.92,moderate,37.85,low
4,2,5,10.3,2,1,2,2,1,48,8,3,37.29,mild,42.78,mild,54.47,neutral
2,2,3,3.3,2,2,5,1,1,58,3,1,37.57,mild,27.19,low,59.89,neutral
5,2,5,6.6,1,1,4,5,2,46,10,4,42.94,mild,80.72,high,41.56,neutral
4,2,2,9.4,2,3,3,1,1,4,5,2,34.69,mild,19.34,low,47.12,neutral
2,1,3,5.4,4,1,3,5,4,103,4,3,59.69,moderate,61.04,moderate,34.23,low
1,5,5,6.4,5,2,2,3,1,64,10,5,49.86,moderate,46.93,mild,58.27,neutral
4,1,2,7.4,2,1,3,1,3,72,4,2,43.88,mild,22.89,low,49.18,neutral
2,4,4,7.1,4,1,4,5,4,63,1,5,51.17,moderate,71.33,high,50.74,neutral
4,4,3,9.6,5,3,5,1,3,63,10,5,28.14,mild,35.05,mild,67.88,good
3,4,2,7.6,1,3,3,5,3,73,4,1,49.34,moderate,59.15,moderate,47.53,neutral
3,5,2,9.2,5,3,1,1,2,50,8,2,42.0,mild,5.56,low,45.64,neutral
1,1,4,6.2,1,2,5,4,3,15,8,5,37.41,mild,59.15,moderate,41.41,neutral
4,2,3,5.5,4,3,2,2,4,3,1,3,46.8,moderate,56.68,moderate,37.14,low
1,1,2,6.4,4,1,1,3,3,65,0,4,51.48,moderate,64.92,moderate,27.36,low
3,3,4,4.7,5,3,3,5,4,22,10,5,53.06,moderate,63.22,moderate,42.61,neutral
5,4,1,7.7,3,5,4,4,5,54,0,1,50.81,moderate,48.48,mild,36.87,low
5,5,1,6.1,4,1,2,2,2,73,4,4,42.33,mild,23.43,low,28.45,low
5,2,5,5.6,1,1,2,1,1,72,9,5,40.28,mild,49.84,mild,56.56,neutral
5,2,4,7.7,3,4,2,2,3,20,2,3,21.15,low,46.85,mild,66.58,good
3,5,3,4.7,5,3,5,5,2,79,6,5,49.81,moderate,25.68,low,70.78,good
2,4,1,8.2,1,2,5,3,1,113,1,4,41.57,mild,22.93,low,40.47,neutral
5,4,3,5.9,1,4,5,4,4,43,7,4,53.79,moderate,71.08,high,46.69,neutral
5,3,3,8.9,4,2,2,3,4,14,9,1,29.3,mild,52.88,moderate,47.86,neutral
5,3,3,6.1,3,4,5,3,4,60,3,4,29.66,mild,51.69,moderate,75.26,good
4,2,1,7.9,3,3,2,1,4,74,3,5,37.27,mild,48.41,mild,31.63,low
1,4,3,7.1,2,1,5,1,3,47,6,2,51.31,moderate,40.99,mild,50.55,neutral
3,2,3,8.1,1,4,5,4,3,72,10,1,35.81,mild,52.8,moderate,56.24,neutral
3,5,2,7.0,4,4,4,2,2,92,7,3,51.86,moderate,18.28,low,59.12,neutral
5,1,1,3.8,2,2,5,2,4,69,9,5,43.64,mild,66.97,moderate,41.89,neutral
2,3,5,8.6,4,4,1,2,5,96,5,4,56.37,moderate,47.89,mild,48.64,neutral
2,2,4,6.6,3,4,4,4,5,17,1,5,51.38,moderate,64.28,moderate,59.5,neutral
1,4,4,8.2,2,5,1,5,3,35,12,3,50.49,moderate,39.44,mild,49.8,neutral
5,4,4,8.0,2,5,4,4,1,67,10,3,27.52,mild,32.81,mild,71.25,good
4,5,4,5.4,4,2,2,4,5,31,0,2,72.15,elevated,74.96,high,36.81,low
1,4,1,5.2,2,5,5,5,3,120,3,5,74.83,elevated,61.16,moderate,44.8,neutral
3,2,3,8.0,5,1,3,3,4,82,5,4,50.65,moderate,52.21,moderate,42.54,neutral
3,2,5,6.3,3,2,4,1,2,49,1,4,40.46,mild,45.93,mild,68.41,good
3,5,2,8.5,5,4,2,3,5,93,11,5,63.94,moderate,67.0,moderate,37.17,low
5,3,5,6.5,3,3,1,5,5,118,2,5,53.3,moderate,95.39,high,50.45,neutral
1,1,1,8.6,3,2,4,4,1,1,2,5,49.89,moderate,65.77,moderate,41.5,neutral
2,5,2,7.6,3,1,2,2,3,67,4,3,76.26,elevated,47.21,mild,19.55,low
1,4,2,7.3,3,4,4,2,3,51,12,1,44.48,mild,22.44,low,46.61,neutral
2,1,4,6.1,3,5,3,5,4,91,2,3,42.93,mild,56.8,moderate,67.39,good
5,4,1,7.2,5,4,5,1,2,37,5,3,18.2,low,21.69,low,64.81,neutral
5,4,2,8.9,4,3,2,5,1,39,8,5,36.67,mild,57.45,moderate,38.13,low
1,4,4,6.7,1,4,3,4,2,92,2,1,67.45,moderate,35.48,mild,64.28,neutral
4,5,2,7.8,1,2,4,5,3,107,1,5,68.5,moderate,75.83,high,30.29,low
2,3,5,6.9,1,5,4,2,2,17,1,4,37.73,mild,30.93,mild,60.94,neutral
1,3,5,7.0,4,1,1,4,3,74,2,1,52.39,moderate,48.07,mild,39.73,low
2,4,2,9.9,2,3,4,2,2,94,4,2,42.67,mild,36.81,mild,55.77,neutral
1,1,3,9.0,2,2,3,1,4,19,12,1,41.11,mild,51.1,moderate,61.99,neutral
3,1,2,6.9,5,5,5,3,3,80,11,5,16.67,low,56.36,moderate,74.47,good
5,5,2,7.2,1,2,4,5,1,118,7,4,50.55,moderate,59.31,moderate,34.69,low
3,2,4,5.5,1,4,4,2,4,101,12,4,47.89,moderate,55.69,moderate,53.69,neutral
4,3,2,6.5,1,1,2,1,2,23,0,3,54.45,moderate,37.42,mild,29.14,low
3,2,1,7.4,2,1,2,5,2,119,7,3,65.44,moderate,57.46,moderate,3.34,low
1,2,2,8.3,1,3,4,5,4,43,5,1,57.34,moderate,61.58,moderate,37.94,low
1,3,5,8.1,4,4,1,5,2,57,1,4,29.16,mild,46.82,mild,61.67,neutral
2,5,2,4.8,4,2,3,5,1,35,7,1,75.11,elevated,18.1,low,62.18,neutral
2,3,2,8.6,1,4,5,5,2,84,5,2,42.67,mild,51.55,moderate,59.48,neutral
5,1,4,6.6,3,3,5,5,2,15,9,5,29.0,mild,54.41,moderate,79.19,good
5,2,1,5.0,2,5,4,5,4,85,5,1,44.07,mild,52.0,moderate,56.44,neutral
5,1,2,9.2,1,2,3,4,4,6,5,5,51.05,moderate,75.08,high,36.41,low
4,5,1,9.4,3,2,5,2,1,102,3,1,48.76,moderate,35.96,mild,54.21,neutral
3,2,5,7.3,4,5,1,3,4,39,6,3,35.67,mild,55.08,moderate,63.26,neutral
4,2,5,8.1,2,2,4,2,4,62,0,3,25.41,mild,51.77,moderate,46.14,neutral
3,1,4,8.2,4,2,1,3,1,27,7,1,50.95,moderate,29.96,low,54.04,neutral
4,3,2,9.3,5,5,4,4,2,13,4,5,44.86,mild,24.21,low,67.53,good
4,5,4,8.1,1,5,2,2,4,2,3,5,56.3,moderate,53.9,moderate,44.73,neutral
4,3,4,4.4,1,1,4,1,3,118,4,2,61.07,moderate,54.09,moderate,38.67,low
4,4,5,10.4,2,5,4,4,2,16,11,2,32.07,mild,57.9,moderate,86.16,good
1,1,1,8.7,5,4,5,5,4,6,9,4,53.26,moderate,69.37,moderate,56.25,neutral
4,1,4,5.9,1,2,4,5,4,62,11,2,36.36,mild,78.22,high,59.01,neutral
2,4,1,4.9,3,3,5,1,3,116,5,1,55.2,moderate,26.42,low,60.44,neutral
4,1,3,7.7,3,2,1,3,1,10,5,4,38.49,mild,48.08,mild,49.95,neutral
3,3,5,6.3,1,1,2,3,4,30,0,2,34.62,mild,64.57,moderate,49.55,neutral
5,2,1,7.4,1,1,3,3,1,67,8,3,29.27,mild,48.21,mild,21.56,low
2,1,1,8.1,1,1,1,4,5,59,0,4,77.42,elevated,83.96,high,0.0,low
5,3,5,5.8,1,3,1,3,1,17,12,3,37.46,mild,58.95,moderate,45.07,neutral
5,5,1,4.8,3,5,1,5,1,115,8,5,74.01,elevated,39.31,mild,25.27,low
